Nombre,Genero,Fecha de lanzamiento,Duracion,Director,Productora cinematografica,Presupuesto,Recaudacion,Ratings,Reviews
The Young and Prodigious T.S. Spivet,"['Adventure', 'Drama', 'Family']",2013-10-16,105,,Epithète Films,33000000,9494789,6.824,[]
The Family,"['Crime', 'Comedy', 'Action']",2013-09-13,111,,Canal+,30000000,36894225,6.357,[]
The Incredible Burt Wonderstone,['Comedy'],2013-03-14,100,,New Line Cinema,30000000,27437881,5.659,[]
You're Next,"['Horror', 'Thriller', 'Mystery']",2013-08-22,94,,Snoot Entertainment,1000000,14347000,6.594,[]
Antboy,"['Comedy', 'Adventure', 'Family']",2013-09-07,77,,Nimbus Film,0,0,5.625,[]
Europa Report,"['Science Fiction', 'Thriller']",2013-06-27,90,,Wayfare Entertainment,125687,0,6.269,[]
Hours,"['Drama', 'Thriller']",2013-12-04,97,,Hours Capital,4000000,0,6.633,[]
Welcome to the Jungle,['Comedy'],2013-04-27,95,,Private Island Trax,3500000,0,5.065,[]
Gangster Squad,"['Crime', 'Drama', 'Action', 'Thriller']",2013-01-09,113,,Village Roadshow Pictures,60000000,105200903,6.358,[]
Pokémon the Movie: Genesect and the Legend Awakened,"['Action', 'Adventure', 'Animation', 'Family']",2013-07-13,72,,The Pokémon Company,0,32300000,6.4,[]
The Haunting in Connecticut 2: Ghosts of Georgia,"['Horror', 'Drama', 'Thriller']",2013-02-01,101,,Gold Circle Films,9000000,0,5.867,[]
Walking with Dinosaurs,"['Animation', 'Family', 'Adventure']",2013-12-18,87,,Animal Logic,80000000,126500000,6.1,[]
Tom and Jerry's Giant Adventure,"['Animation', 'Family']",2013-08-04,57,,Warner Bros. Animation,0,0,5.831,[]
Anna,"['Thriller', 'Drama']",2013-10-13,99,,StudioCanal,4357373,1200000,6.495,[]
The Frozen Ground,"['Thriller', 'Crime']",2013-07-11,105,,Picture Perfect Corporation,27220000,5496951,6.267,[]
Bad Words,['Comedy'],2013-09-06,89,,Darko Entertainment,9500000,7800000,6.371,[]
The House of Magic,"['Family', 'Fantasy', 'Animation', 'Adventure']",2013-12-24,86,,nWave Pictures,34000000,64197205,6.353,[]
Young Detective Dee: Rise of the Sea Dragon,"['Action', 'Crime', 'Fantasy', 'Adventure']",2013-09-27,134,,Huayi Brothers Pictures,0,98774891,6.241,[]
Bayonetta: Bloody Fate,"['Animation', 'Action', 'Fantasy']",2013-11-23,91,,GONZO,0,0,6.6,[]
The Last Exorcism Part II,"['Horror', 'Thriller']",2013-02-28,88,,CBS Films,5000000,15200000,4.6,[]
Fright Night 2: New Blood,"['Horror', 'Comedy']",2013-08-31,100,,Gaeta / Rosenzweig Films,8000000,0,4.9,[]
Lovelace,['Drama'],2013-08-08,92,,Helios-Filmproduktion,10000000,1585582,6.035,[]
Behind the Candelabra,"['Drama', 'Romance']",2013-05-26,118,,Jerry Weintraub Productions,23000000,15600000,6.656,[]
Dead Man Down,"['Thriller', 'Action', 'Crime', 'Drama']",2013-03-08,118,,WWE Studios,0,18074539,6.168,[]
Miracle in Cell No. 7,"['Drama', 'Comedy']",2013-01-23,127,,Next Entertainment World,0,80300000,7.9,[]
American Mary,"['Horror', 'Thriller']",2013-01-11,102,,IndustryWorks Pictures,0,0,6.148,[]
Bounty Killer,"['Action', 'Science Fiction']",2013-09-05,93,,Just Chorizo Productions,0,0,5.8,[]
The Dyatlov Pass Incident,"['Thriller', 'Mystery']",2013-02-27,100,,Non-Stop Productions,0,5217347,5.847,[]
Ninja: Shadow of a Tear,"['Action', 'Crime', 'Thriller']",2013-12-27,95,,Swingin' Productions,0,0,6.629,[]
Sword Art Online: Extra Edition,"['Animation', 'Fantasy', 'Adventure']",2013-12-31,101,,A-1 Pictures,0,0,5.3,[]
Ryo,['Animation'],2013-03-02,26,,GONZO,0,0,7.0,[]
Monster High: Scaris City of Frights,"['Animation', 'Fantasy']",2013-03-03,61,,Mattel Playground Productions,0,0,7.766,[]
Minuscule: Valley of the Lost Ants,"['Animation', 'Adventure', 'Family']",2013-11-17,89,,Nozon,19700000,30000000,6.965,[]
Bullet to the Head,"['Action', 'Crime', 'Thriller']",2013-01-31,92,,Dark Castle Entertainment,55000000,9489829,5.586,[]
Space Pirate Captain Harlock,"['Animation', 'Science Fiction']",2013-09-07,115,,Toei Animation,30000000,18010317,6.622,[]
Moebius,['Drama'],2013-09-05,89,,Kim Ki Duk Film,0,11563,6.704,[]
The Adventurer: The Curse of the Midas Box,"['Fantasy', 'Adventure', 'Family']",2013-12-05,99,,uMedia,25000000,6399,5.6,[]
Dark Skies,"['Science Fiction', 'Thriller', 'Horror']",2013-02-21,97,,Cinema Vehicle Services,3500000,25174316,6.306,[]
Labor Day,['Drama'],2013-12-27,111,,Mr. Mudd Production,18000000,20275812,6.976,[]
The Keeper of Lost Causes,"['Thriller', 'Mystery', 'Crime']",2013-10-03,93,,Zentropa Entertainments,5650000,13700000,7.1,[]
Crush,['Thriller'],2013-03-13,94,,Intrepid Pictures,0,0,6.0,[]
Barbie in the Pink Shoes,"['Animation', 'Family']",2013-02-14,75,,Mattel,0,0,6.822,[]
Puella Magi Madoka Magica the Movie Part III: Rebellion,"['Mystery', 'Animation', 'Fantasy']",2013-10-26,116,,SHAFT,0,12947880,7.7,[]
Snitch,"['Thriller', 'Drama', 'Action']",2013-02-21,112,,Exclusive Media,35000000,42930462,6.089,[]
Hope,['Drama'],2013-10-02,122,,Lotte Entertainment,0,0,8.392,[]
21 & Over,['Comedy'],2013-03-01,93,,Mandeville Films,13000000,48065672,5.822,[]
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,['Comedy'],2013-01-14,80,,Silver Nitrate,3000000,0,4.2,[]
"Like Father, Like Son",['Drama'],2013-09-28,120,,Fuji Television Network,0,19978961,7.664,[]
Miss Violence,['Drama'],2013-09-09,99,,Greek Film Centre,0,0,7.066,[]
Escape from Planet Earth,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']",2013-02-14,89,,The Weinstein Company,40000000,74597643,5.74,[]
Saving Mr. Banks,"['Comedy', 'Drama', 'History']",2013-11-29,125,,Hopscotch Features,35000000,112544580,7.356,[]
Spring Breakers,"['Drama', 'Crime']",2013-01-24,94,,Iconoclast,5000000,31700000,5.22,[]
Life of Crime,"['Comedy', 'Crime']",2013-09-14,94,,Abbolita Productions,12000000,265452,5.76,[]
Free Birds,"['Animation', 'Comedy', 'Family']",2013-10-30,91,,Reel FX Creative Studios,55000000,110000000,5.872,[]
I Give It a Year,"['Comedy', 'Romance']",2013-02-08,97,,Canal+,0,29128433,5.535,[]
The Butler,['Drama'],2013-08-16,132,,Follow Through Productions,25000000,115922175,7.345,[]
The Bling Ring,"['Drama', 'Crime']",2013-06-12,90,,American Zoetrope,15000000,19145732,5.4,[]
The Smurfs: The Legend of Smurfy Hollow,"['Comedy', 'Animation', 'Family', 'Fantasy']",2013-09-12,22,,Sony Pictures Animation,0,0,6.798,[]
Wolf Creek 2,"['Horror', 'Thriller']",2013-08-30,106,,True Crime Australia,8000000,9630444,6.396,[]
Begin Again,"['Comedy', 'Music', 'Romance', 'Drama']",2013-09-07,104,,Likely Story,8000000,63500000,7.2,[]
The Hunger Games: Mockingjay - Part 1,"['Science Fiction', 'Adventure', 'Thriller']",2014-11-19,123,,Lionsgate,125000000,755356711,6.804,[]
The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",2014-12-10,144,,New Line Cinema,250000000,956019788,7.314,[]
Interstellar,"['Adventure', 'Drama', 'Science Fiction']",2014-11-05,169,,Legendary Pictures,165000000,701729206,8.423,[]
The Scopia Effect,"['Thriller', 'Horror', 'Science Fiction']",2014-11-01,130,,Flynn Entertainment,0,0,5.5,[]
Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",2014-10-24,102,,Walt Disney Pictures,165000000,657827828,7.734,[]
The Equalizer,"['Thriller', 'Action', 'Crime']",2014-09-24,132,,Lonetree Entertainment,55000000,192330738,7.263,[]
The Maze Runner,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",2014-09-10,113,,Ingenious Media,34000000,348319861,7.174,[]
Godzilla,"['Action', 'Drama', 'Science Fiction']",2014-05-14,123,,Legendary Pictures,160000000,529100000,6.302,[]
Fury,"['War', 'Drama', 'Action']",2014-10-15,135,,Columbia Pictures,68000000,211817906,7.525,[]
Blood Widow,['Horror'],2014-06-03,84,,Arcani Pictures,0,0,4.91,[]
How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2014-06-05,102,,DreamWorks Animation,145000000,621537519,7.67,[]
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",2014-04-16,141,,Marvel Entertainment,200000000,708962323,6.5,[]
Taken 3,"['Thriller', 'Action']",2014-12-16,109,,EuropaCorp,48000000,325800000,6.239,[]
Penguins of Madagascar,"['Family', 'Animation', 'Adventure', 'Comedy']",2014-11-22,92,,DreamWorks Animation,132000000,373552094,6.523,[]
Dawn of the Planet of the Apes,"['Science Fiction', 'Action', 'Drama', 'Thriller']",2014-06-26,130,,TSG Entertainment,170000000,710644566,7.309,[]
Whiplash,"['Drama', 'Music']",2014-10-10,107,,Bold Films,3300000,13092000,8.384,[]
The Imitation Game,"['History', 'Drama', 'Thriller', 'War']",2014-11-14,113,,Bristol Automotive,14000000,233600000,8.008,[]
Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",2014-08-07,101,,Nickelodeon Movies,125000000,485000000,5.902,[]
Gone Girl,"['Mystery', 'Thriller', 'Drama']",2014-10-01,149,,20th Century Fox,61000000,369300000,7.893,[]
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",2014-06-25,165,,di Bonaventura Pictures,210000000,1104100000,5.927,[]
Black Butler: Book of Murder,"['Mystery', 'Animation', 'Adventure']",2014-10-25,116,,A-1 Pictures,0,0,8.1,[]
Edge of Tomorrow,"['Action', 'Science Fiction']",2014-05-27,114,,RatPac Entertainment,178000000,370541256,7.611,[]
Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action', 'Adventure']",2014-12-13,129,,20th Century Fox,81000000,414351546,7.636,[]
American Sniper,"['War', 'Action']",2014-12-25,133,,Warner Bros. Pictures,58800000,542300000,7.43,[]
Exodus: Gods and Kings,"['Adventure', 'Drama', 'Action']",2014-12-03,150,,20th Century Fox,140000000,268031828,5.853,[]
The Purge: Anarchy,"['Horror', 'Thriller']",2014-07-17,104,,Why Not Productions,9000000,111928365,6.647,[]
Stand by Me Doraemon,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",2014-08-08,90,,TOHO,35000000,83061158,7.3,[]
Sex Tape,['Comedy'],2014-07-17,97,,Escape Artists,40000000,126069509,5.412,[]
John Wick,"['Action', 'Thriller']",2014-10-22,101,,87Eleven,20000000,88761661,7.423,[]
X-Men: Days of Future Past,"['Action', 'Adventure', 'Science Fiction']",2014-05-15,132,,Bad Hat Harry Productions,250000000,747862775,7.525,[]
Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",2014-05-28,97,,Walt Disney Pictures,180000000,758539785,7.091,[]
The Grand Budapest Hotel,"['Comedy', 'Drama']",2014-02-26,100,,Fox Searchlight Pictures,30000000,174600318,8.05,[]
300: Rise of an Empire,"['Action', 'Drama', 'War']",2014-03-05,102,,Legendary Pictures,110000000,337580051,6.1,[]
Tinker Bell and the Legend of the NeverBeast,"['Adventure', 'Animation', 'Family']",2014-12-12,77,,DisneyToon Studios,0,0,7.264,[]
The Expendables 3,"['Action', 'Adventure', 'Thriller']",2014-08-07,126,,Davis Films,95000000,214700000,6.226,[]
Dumb and Dumber To,['Comedy'],2014-11-12,110,,New Line Cinema,40000000,169837010,5.553,[]
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends","['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']",2014-12-31,105,,Toei Animation,0,0,6.961,[]
Blended,"['Comedy', 'Romance']",2014-05-21,117,,GulfStream Pictures,40000000,128000000,6.868,[]
The Last: Naruto the Movie,"['Action', 'Romance', 'Animation']",2014-12-06,114,,Aniplex,903852,19840000,7.758,[]
A Haunted House 2,"['Comedy', 'Horror']",2014-04-17,87,,Automatik Entertainment,4000000,25343661,6.098,[]
The Book of Life,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2014-10-01,95,,Reel FX Creative Studios,50000000,97437106,7.551,[]
Lucy,"['Action', 'Science Fiction']",2014-07-25,89,,EuropaCorp,40000000,458863600,6.444,[]
Hercules,"['Action', 'Adventure']",2014-07-23,99,,Paramount,100000000,244819862,5.76,[]
Annabelle,['Horror'],2014-10-02,99,,Atomic Monster,6500000,257000000,5.762,[]
The Lego Movie,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2014-02-06,100,,Village Roadshow Pictures,60000000,469200000,7.418,[]
The Remaining,"['Thriller', 'Horror']",2014-08-25,88,,Sunrise Pictures,0,1169603,6.1,[]
Sin City: A Dame to Kill For,"['Crime', 'Action', 'Thriller']",2014-08-20,102,,Residaco,65000000,39407616,6.366,[]
Paddington,"['Comedy', 'Adventure', 'Family']",2014-11-24,96,,Heyday Films,55000000,259207227,7.1,[]
Divergent,"['Action', 'Adventure', 'Science Fiction']",2014-03-14,139,,Summit Entertainment,85000000,288885818,6.923,[]
Nightcrawler,"['Crime', 'Drama', 'Thriller']",2014-10-23,118,,Sierra/Affinity,8500000,50300000,7.705,[]
Saint Seiya: Legend of Sanctuary,"['Action', 'Animation', 'Fantasy']",2014-06-21,93,,Toei Animation,23000000,17150803,6.555,[]
Night at the Museum: Secret of the Tomb,"['Adventure', 'Comedy', 'Fantasy', 'Family']",2014-12-17,98,,Moving Picture Company,127000000,363204635,6.206,[]
Need for Speed,"['Action', 'Crime', 'Drama', 'Thriller']",2014-03-12,132,,DreamWorks Pictures,66000000,203277636,6.402,[]
The Fault in Our Stars,"['Romance', 'Drama']",2014-05-16,126,,TSG Entertainment,14000000,307166834,7.597,[]
Tinker Bell and the Pirate Fairy,"['Animation', 'Family']",2014-02-13,78,,DisneyToon Studios,0,63998725,6.92,[]
The Interview,"['Action', 'Comedy']",2014-12-25,113,,Point Grey Pictures,44000000,12342632,6.189,[]
A Walk Among the Tombstones,"['Crime', 'Drama', 'Mystery', 'Thriller']",2014-09-18,114,,Traveling Picture Show Company (TPSC),28000000,58834384,6.323,[]
Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']",2014-07-30,121,,Marvel Studios,170000000,772776600,7.906,[]
Blood Punch,"['Horror', 'Thriller']",2014-02-21,104,,Bluff Road Productions,0,0,6.4,[]
"Love, Rosie","['Romance', 'Drama', 'Comedy']",2014-10-16,102,,Constantin Film,0,4439431,7.837,[]
Seventh Son,"['Adventure', 'Fantasy']",2014-12-12,102,,Legendary Pictures,95000000,114178613,5.493,[]
Annie,"['Comedy', 'Drama', 'Family']",2014-12-19,119,,Marcy Media,65000000,133800000,6.25,[]
Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']",2014-03-20,136,,Marvel Studios,170000000,714766572,7.669,[]
Noah,"['Drama', 'Adventure']",2014-03-07,138,,Paramount,125000000,362600000,5.66,[]
Predestination,"['Science Fiction', 'Thriller']",2014-08-28,97,,Screen Queensland,5500000,4942449,7.444,[]
RoboCop,"['Science Fiction', 'Action', 'Crime', 'Thriller', 'Fantasy', 'Horror']",2014-01-30,118,,Columbia Pictures,120000000,242688965,5.851,[]
Beauty and the Beast,"['Fantasy', 'Romance']",2014-02-12,112,,Canal+,33000000,49100000,6.133,[]
22 Jump Street,"['Crime', 'Comedy', 'Action']",2014-06-05,112,,Columbia Pictures,50000000,331300000,6.839,[]
Let's Be Cops,['Comedy'],2014-08-13,104,,WideAwake,17000000,136600000,6.474,[]
Step Up All In,"['Romance', 'Drama', 'Music']",2014-07-16,112,,Summit Entertainment,45000000,86165646,6.841,[]
Rio 2,"['Animation', 'Adventure', 'Comedy', 'Family']",2014-03-19,101,,Blue Sky Studios,103000000,500188435,6.502,[]
Beyond the Reach,['Thriller'],2014-09-06,95,,Furthur Films,0,45895,5.9,[]
Ouija,['Horror'],2014-10-24,89,,White Noise Factory,5000000,103600000,5.151,[]
"As Above, So Below","['Horror', 'Thriller']",2014-08-14,93,,Brothers Dowdle Productions,5000000,41900000,6.664,[]
The November Man,"['Crime', 'Action', 'Thriller']",2014-08-27,108,,SPD Films,15000000,32556119,6.11,[]
Left Behind,"['Thriller', 'Action', 'Science Fiction']",2014-10-03,110,,Stoney Lake Entertainment,16000000,19682924,4.207,[]
Escobar: Paradise Lost,"['Thriller', 'Romance']",2014-10-11,120,,uFilm,17000000,3758328,6.277,[]
Jack Ryan: Shadow Recruit,"['Action', 'Drama', 'Thriller']",2014-01-15,105,,di Bonaventura Pictures,60000000,135500000,6.1,[]
Automata,"['Thriller', 'Science Fiction']",2014-10-09,110,,Green Moon Productions,7000000,6237990,5.832,[]
Birdman or (The Unexpected Virtue of Ignorance),"['Drama', 'Comedy']",2014-10-17,120,,TSG Entertainment,18000000,103215094,7.469,[]
Brick Mansions,"['Action', 'Crime', 'Drama']",2014-04-22,90,,EuropaCorp,28000000,71416730,5.9,[]
Mr. Peabody & Sherman,"['Animation', 'Adventure', 'Family']",2014-02-07,92,,Pacific Data Images,145000000,272912430,6.727,[]
The Loft,['Thriller'],2014-10-14,108,,Open Road Films,14000000,10100000,6.414,[]
Avengers Confidential: Black Widow & Punisher,"['Animation', 'Science Fiction', 'Action']",2014-04-19,83,,Sony Pictures,0,0,6.347,[]
The Judge,['Drama'],2014-10-08,141,,Village Roadshow Pictures,50000000,83700000,7.306,[]
Wild Tales,"['Drama', 'Thriller', 'Comedy']",2014-08-21,122,,Warner Bros. Pictures,4000000,27000000,7.866,[]
Heaven Is for Real,['Drama'],2014-04-16,99,,TriStar Pictures,12000000,101332962,6.697,[]
The Taking of Deborah Logan,"['Horror', 'Mystery', 'Thriller']",2014-10-21,90,,Guerin-Adler-Scott Pictures,0,0,6.467,[]
Horrible Bosses 2,['Comedy'],2014-11-12,108,,New Line Cinema,42000000,107700000,6.187,[]
Flight 7500,"['Thriller', 'Horror', 'Mystery']",2014-05-16,79,,Vertigo Entertainment,0,0,4.825,[]
When Marnie Was There,"['Animation', 'Drama']",2014-07-19,103,,Studio Ghibli,0,34949567,7.948,[]
Dracula Untold,"['Horror', 'Action', 'Fantasy']",2014-10-01,92,,Universal Pictures,70000000,217124280,6.401,[]
A Million Ways to Die in the West,"['Comedy', 'Western']",2014-05-22,116,,RGB Media,40000000,86400000,6.012,[]
Stonehearst Asylum,"['Thriller', 'Mystery', 'Horror']",2014-10-23,112,,Icon Productions,0,3200000,6.825,[]
Before I Go to Sleep,"['Thriller', 'Mystery']",2014-09-03,92,,StudioCanal,22000000,15447154,6.495,[]
The Babadook,"['Drama', 'Horror']",2014-05-22,94,,Screen Australia,2000000,10300000,6.524,[]
The Boxtrolls,"['Animation', 'Comedy', 'Family', 'Fantasy']",2014-09-10,97,,Laika,60000000,108255770,6.664,[]
Outcast,"['Action', 'Adventure']",2014-09-26,98,,Media Max Productions,25000000,5148503,5.076,[]
The Best of Me,"['Drama', 'Romance']",2014-10-15,117,,Relativity Media,26000000,35926213,7.46,[]
Planes: Fire & Rescue,"['Animation', 'Comedy', 'Adventure', 'Family']",2014-07-17,83,,Disney Television Animation,50000000,151165787,6.14,[]
Toy Story That Time Forgot,"['Animation', 'Family', 'Adventure', 'Comedy']",2014-12-02,22,,Pixar,0,0,7.017,[]
"I, Frankenstein","['Horror', 'Thriller']",2014-01-22,92,,Lionsgate,65000000,76801179,5.31,[]
Inherent Vice,"['Drama', 'Mystery', 'Comedy']",2014-12-12,149,,Warner Bros. Pictures,20000000,14710975,6.578,[]
Neighbors,['Comedy'],2014-05-08,97,,Good Universe,18000000,270665134,6.178,[]
Falcon Rising,"['Adventure', 'Action']",2014-09-05,103,,Strohberry Films,4500000,11774,6.266,[]
The Cobbler,"['Fantasy', 'Comedy', 'Drama']",2014-09-11,99,,Golden Spike (II),0,0,5.852,[]
Addicted,"['Drama', 'Thriller']",2014-10-10,105,,Lionsgate,0,17534314,5.8,[]
Wrong Turn 6: Last Resort,['Horror'],2014-08-22,91,,Constantin Film,1200000,0,5.37,[]
Sorry If I Call You Love,"['Romance', 'Drama']",2014-06-20,105,,ICEC,0,0,7.505,[]
A Most Violent Year,"['Crime', 'Drama', 'Thriller']",2014-12-31,124,,Participant,20000000,12007070,6.598,[]
Obsessed,['Drama'],2014-05-14,132,,Next Entertainment World,0,0,6.875,[]
Detective Conan: Dimensional Sniper,"['Action', 'Animation', 'Drama', 'Mystery']",2014-04-19,110,,Shogakukan-Shueisha Productions,0,0,6.865,[]
The Prince,"['Thriller', 'Action']",2014-08-22,93,,EFO Films,18000000,1289595,4.906,[]
3 Days to Kill,"['Action', 'Drama', 'Thriller']",2014-02-14,113,,Wonderland Sound and Vision,28000000,53260230,6.069,[]
A Hard Day,"['Action', 'Crime', 'Thriller']",2014-05-29,111,,Dasepo Club,0,26488847,7.096,[]
As the Gods Will,"['Thriller', 'Horror', 'Comedy']",2014-11-15,117,,Toho Pictures,0,0,7.206,[]
Unbroken,"['Drama', 'War']",2014-12-25,137,,Legendary Pictures,65000000,163400000,7.442,[]
I Origins,"['Science Fiction', 'Drama']",2014-07-18,106,,Bersin Pictures,0,336472,7.596,[]
Chef,['Comedy'],2014-05-08,114,,Altus Media,11000000,45967935,7.122,[]
The Theory of Everything,"['Drama', 'Romance']",2014-11-26,123,,Working Title Films,15000000,123726688,7.9,[]
Paranormal Activity: The Marked Ones,"['Horror', 'Thriller']",2014-01-01,84,,Blumhouse Productions,5000000,90894962,5.403,[]
Into the Storm,"['Action', 'Thriller']",2014-08-06,89,,New Line Cinema,50000000,160600000,6.03,[]
Pokémon the Movie: Diancie and the Cocoon of Destruction,"['Animation', 'Family', 'Adventure', 'Action', 'Comedy', 'Drama']",2014-07-19,76,,East Japan Marketing & Communications,24720400,0,6.615,[]
Kung Fu Jungle,"['Action', 'Thriller', 'Crime']",2014-10-31,100,,Heart & Soul Production,25000000,129115,6.743,[]
The Drop,"['Drama', 'Crime']",2014-09-12,106,,Fox Searchlight Pictures,12600000,19054534,6.772,[]
Non-Stop,"['Action', 'Thriller', 'Mystery']",2014-02-26,106,,TF1,50000000,222800000,6.811,[]
The Raid 2,"['Action', 'Crime', 'Thriller']",2014-03-27,150,,XYZ Films,4500000,6566916,7.624,[]
The Pyramid,['Horror'],2014-12-04,89,,Silvatar Media,6500000,16861137,5.284,[]
The Other Woman,"['Comedy', 'Romance']",2014-04-16,109,,LBI Productions,40000000,196781193,6.423,[]
PK,"['Comedy', 'Drama', 'Adventure', 'Science Fiction']",2014-12-18,153,,Rajkumar Hirani Films,13000000,120000000,7.695,[]
Big Eyes,['Drama'],2014-12-24,106,,The Weinstein Company,10000000,28883511,7.0,[]
Pompeii,"['Action', 'Adventure', 'History', 'Romance', 'Drama']",2014-02-18,105,,Don Carmody Productions,100000000,117831631,5.527,[]
Rurouni Kenshin Part II: Kyoto Inferno,"['Action', 'Adventure', 'Drama', 'Fantasy']",2014-08-01,138,,AMUSE,0,0,7.6,[]
Parasyte: Part 1,"['Science Fiction', 'Horror', 'Action', 'Drama']",2014-11-29,109,,dentsu,0,0,7.1,[]
No Good Deed,"['Crime', 'Thriller']",2014-09-10,84,,Will Packer Productions,13200000,53830415,5.9,[]
Transcendence,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",2014-04-16,119,,DMG Entertainment,100000000,103039258,6.031,[]
About Last Night,"['Comedy', 'Romance']",2014-02-14,100,,Olive Bridge Entertainment,12500000,49002684,6.008,[]
Cake,['Drama'],2014-09-07,102,,We're Not Brothers Productions,7000000,2360281,6.301,[]
The Legend of Hercules,"['Action', 'Adventure']",2014-01-10,99,,Millennium Media,70000000,61279452,4.783,[]
Into the Woods,"['Fantasy', 'Comedy']",2014-12-24,125,,Walt Disney Pictures,50000000,212902372,5.751,[]
Rurouni Kenshin Part III: The Legend Ends,"['Action', 'Adventure', 'Drama', 'Fantasy']",2014-09-13,135,,Shueisha,0,0,7.7,[]
A Girl Walks Home Alone at Night,"['Horror', 'Romance']",2014-11-21,101,,Black Light District,1000000,395000,6.826,[]
Last Shift,"['Horror', 'Mystery']",2014-10-25,87,,Skyra Entertainment,0,0,6.3,[]
Creep,['Horror'],2014-06-23,82,,Blumhouse Productions,0,0,6.367,[]
No Thank You,"['Drama', 'Comedy']",2014-01-10,97,,Kinotar,1600000,0,4.8,[]
Ride Along,"['Action', 'Comedy']",2014-01-07,99,,Rainforest Entertainment,25000000,153997819,6.2,[]
Trash,"['Adventure', 'Crime', 'Drama', 'Thriller']",2014-10-09,112,,O2 Filmes,0,0,7.1,[]
Clown,"['Horror', 'Thriller']",2014-11-13,99,,PS 260,0,4381603,5.748,[]
Halo: Nightfall,['Science Fiction'],2014-02-05,119,,Bounder & Cad,0,0,6.916,[]
Who Am I,['Thriller'],2014-09-25,105,,Seven Pictures,0,7700259,7.606,[]
Zombeavers,"['Horror', 'Action', 'Comedy']",2014-10-20,85,,Armory Films,0,14947,4.903,[]
Camp X-Ray,['Drama'],2014-10-17,117,,Young Gang,1000000,59744,6.7,[]
Under the Skin,"['Thriller', 'Science Fiction', 'Drama']",2014-03-14,108,,Scottish Screen,13300000,5735963,6.119,[]
Sijjin,['Horror'],2014-09-26,96,,Muhteşem Film,0,0,5.964,[]
Northmen: A Viking Saga,"['Adventure', 'Action', 'Drama']",2014-10-23,97,,Two Oceans Production (TOP),0,3005082,5.388,[]
Million Dollar Arm,['Drama'],2014-05-09,124,,Walt Disney Pictures,25000000,38307627,6.744,[]
A Merry Friggin' Christmas,['Comedy'],2014-11-07,82,,Sycamore Pictures,0,0,5.358,[]
Dragons: Dawn of the Dragon Racers,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2014-11-01,26,,DreamWorks Animation,0,0,7.2,[]
Bad Country,"['Drama', 'Action', 'Crime']",2014-09-26,95,,Wilmor Entertainment,0,0,5.569,[]
The Giver,"['Drama', 'Science Fiction']",2014-08-13,97,,The Weinstein Company,25000000,66980456,6.55,[]
Marvel One-Shot: All Hail the King,"['Action', 'Comedy', 'Fantasy']",2014-02-04,14,,Marvel Studios,0,0,6.77,[]
Love Affair,"['Drama', 'Romance']",2014-10-30,91,,,0,0,5.9,[]
Mortadelo and Filemon: Mission Implausible,"['Comedy', 'Animation', 'Adventure']",2014-08-30,91,,Películas Pendelton,10000000,0,6.608,[]
Justice League: War,"['Animation', 'Action']",2014-01-21,79,,DC Entertainment,3500000,5155325,7.442,[]
The Monuments Men,"['War', 'Drama', 'History', 'Action']",2014-01-24,118,,Columbia Pictures,70000000,154984035,6.04,[]
Zombie Fight Club,"['Action', 'Horror']",2014-10-23,95,,,0,0,5.7,[]
Rage,"['Action', 'Crime', 'Thriller']",2014-05-09,98,,Vocal Yokels,15000000,2424381,5.26,[]
The Water Diviner,"['War', 'Drama']",2014-12-25,112,,Fear of God Films,22500000,15520023,6.805,[]
Against the Sun,"['War', 'Adventure']",2014-11-22,99,,The American Film Company,0,0,6.968,[]
The Monkey King,"['Action', 'Adventure', 'Family', 'Fantasy']",2014-01-09,119,,Filmko Pictures,82000000,0,5.579,[]
The Captive,"['Drama', 'Thriller', 'Crime']",2014-09-05,112,,The Film Farm,0,1075178,5.834,[]
Cold in July,"['Drama', 'Thriller']",2014-05-23,109,,Bullet Pictures,0,427418,6.554,[]
The Admiral: Roaring Currents,"['War', 'Action', 'Drama', 'History']",2014-07-30,126,,Big Stone Pictures,9500000,112200000,7.0,[]
